1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
1,1,1,1,1,1,87,63,81,27,105,4,4,178,8,1,2,9,56,1,33,422,197,205,29,6,672,518,130,1318,25,25,7723,216,165,295,225,1087,1703,35,28,25,26,51,4,227,257,18,30,5,53,9,43,7,1,1,29.5,1,2,1,37,1,41,0,1,13,7,0,6.35E+03,0,92.1,1,4,0,4,129,83.3,16.7,1.59,9,0,2,2,1,2,0,1,2,5,0,0,2,2,2,0,0,2,0,0,3,3,1,1,0,0,1,3,0,1,0,10,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,yes
1,1,1,1,1,1,98,18,21,7,40,7,1,25,6,1,1,5,18,1,23,548,94,92,36,1,955,448,418,1869,18,18,7499,268,181,256,307,1303,1521,58,49,10,36,11,13,221,297,10,7,5,21,23,9,0,1,1,27.2,1,13,1,9,3,18,2,0,9,0,0,5.34E+03,0,96,0,5,7,2,100,83.2,16.8,1.54,72,0,0,0,0,16,0,1,1,1,3,0,0,0,3,7,0,0,1,1,1,1,54,1,0,1,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,no
1,1,1,1,1,1,32,62,65,28,113,3,0,36,4,1,2,18,51,1,23,1154,248,257,29,2,1780,893,732,3752,0,0,18973,525,391,435,588,2028,3308,40,140,35,99,49,33,531,723,25,46,5,67,34,60,28,1,1,30.3,1,6,1,55,1,113,2,0,44,0,0,1.40E+04,0,94,0,7,1,6,242,84,16,1.7,297,3,5,1,2,45,0,0,4,44,4,0,2,3,2,23,1,2,2,0,1,1,92,1,0,1,1,4,0,3,1,28,1,1,2,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,0,2,1,0,4,0,0,1,1,0,1,1,1,3,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,100,0,1,0,0,0,33.3,66.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
1,1,1,1,1,1,25,21,27,7,31,0,3,116,8,1,1,2,21,1,22,196,145,143,30,1,341,187,79,607,12,12,1768,111,80,90,122,473,327,40,12,28,7,17,4,56,73,7,20,5,34,9,18,0,1,1,27.3,1,0,1,27,1,7,0,1,1,1,0,1.39E+03,0,95.7,0,3,0,2,36,78.5,21.5,2.66,18,2,2,3,3,5,0,3,3,0,3,0,2,1,0,2,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,yes
1,1,1,1,1,1,227,37,48,24,82,5,5,35,19,1,1,19,60,1,32,531,297,309,34,2,846,509,219,1776,37,37,5375,267,212,231,277,1173,1881,48,36,35,52,55,11,195,234,11,44,5,65,6,61,0,1,1,29.9,1,8,1,91,10,23,0,1,3,0,0,1.79E+03,0,96.5,0,5,0,7,73,79.7,20.3,1.39,37,7,2,1,2,3,0,1,3,0,1,0,2,1,1,4,2,4,6,4,2,4,5,1,0,1,3,2,1,3,0,22,4,0,1,2,3,2,1,1,3,1,1,0,0,3,0,1,2,2,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,0,2,2,0,2,0,0,0,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0,0,0,50,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,661,207,203,34,0,1205,624,702,2756,0,0,8715,333,241,383,391,1517,2232,46,80,21,70,0,16,311,456,24,30,5,56,37,45,0,1,1,27.2,1,2,1,49,0,36,0,0,44,0,0,390,0,97.8,0,5,0,5,53,84.7,15.3,1.58,363,2,2,2,2,45,0,2,1,27,4,0,2,3,0,20,1,1,1,4,0,0,89,0,0,1,0,1,0,3,1,0,2,1,4,1,2,0,0,1,3,0,1,1,0,0,0,2,0,0,no
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,11,1,18,362,170,169,33,0,605,345,185,1000,0,0,5590,212,123,202,230,1021,808,35,28,29,32,20,10,75,116,10,31,5,43,12,27,0,1,1,26.7,1,4,1,32,0,58,0,0,31,0,0,887,0,92.3,0,4,0,4,76,82.7,17.3,1.56,52,2,1,1,2,9,0,0,1,32,4,0,1,1,3,4,0,0,2,3,0,0,31,0,0,1,0,0,1,2,1,0,1,1,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,2,no
1,1,1,1,1,1,52,14,16,25,57,14,3,115,5,1,1,9,14,1,45,737,296,296,29,7,1246,622,655,2668,6,6,10846,384,257,334,411,1468,2014,49,79,40,74,31,18,378,477,17,50,5,73,19,73,0,1,1,28.5,1,8,1,59,0,10,2,0,15,2,0,2.16E+03,0,98.8,0,6,0,5,37,83.3,16.7,1.46,128,3,1,7,4,19,0,2,1,6,2,0,2,2,3,7,2,2,0,4,1,0,7,1,0,1,3,1,1,2,1,0,6,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,3,no
