1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
33,379,244,639,277,29,33,2309,291,143,114,12,629,60,95,100,4,44,1.33,112,5,16,1,19,20.2,79.8,14,1,1,1,1,29.6,5,8,96.4,1.66E+03,5,0,13,0,3,118,6,115,35,1,20,1,24,1,1,1,1,1,18,2,1,0,1,18,1,0,0,0,2,3,2,0,9,0,3,1,0,0,1,1,0,1,1,0,0,3,2,5,0,2,0,5,2,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,yes
38,860,509,1692,473,24,97,5536,1421,279,295,34,886,287,278,190,6,223,1.29,257,14,62,1,15,17.9,82.1,13,1,1,1,1,23.7,5,14,95.7,3.10E+03,17,9,16,0,38,160,10,150,40,4,18,1,50,1,1,1,1,1,39,2,0,2,1,15,1,0,1,0,0,1,6,3,7,0,4,1,2,0,4,0,1,2,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,yes
36,1175,587,2428,503,27,87,4478,1934,235,429,53,1435,552,374,236,6,385,1.45,463,18,138,1,51,20.4,79.6,21,1,1,1,1,33,5,64,96.6,2.59E+03,41,11,22,0,25,113,11,118,22,5,12,1,13,1,1,1,2,1,18,3,0,29,1,24,0,4,2,0,0,2,0,1,0,0,1,1,1,0,1,2,0,0,1,2,2,0,0,0,15,3,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
37,1673,999,3025,770,32,38,12890,1944,400,523,81,1804,441,414,358,8,338,1.49,500,18,80,1,75,17.2,82.8,45,1,1,1,1,28.4,5,265,98.8,1.91E+03,19,16,29,0,11,268,30,253,77,7,41,1,52,1,1,1,3,1,69,2,0,20,1,6,1,28,3,0,6,3,2,5,88,0,5,2,1,0,2,2,2,3,3,1,5,10,1,18,15,0,2,24,6,6,0,1,1,2,0,1,1,3,0,0,1,1,1,0,73,0,1,1,0,1,2,1,0,0,2,1,0,1,0,0,0,5,0,yes
51,1468,817,3178,807,23,45,10827,2250,409,452,51,2098,534,412,334,5,406,1.85,553,18,101,1,26,17.1,82.9,55,1,1,1,1,30,5,221,98.7,2.49E+03,16,7,40,0,19,539,16,560,136,14,95,1,135,1,1,1,4,0,191,5,2,26,1,0,6,11,5,0,4,4,3,2,60,0,4,4,5,0,4,4,3,3,9,1,7,44,2,106,11,10,20,106,26,27,0,4,14,128,0,4,4,1,13,0,2,1,0,36,25,4,1,6,3,1,0,1,4,2,1,3,0,0,1,1,1,3,0,yes
1,1,2,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,66.7,33.3,0,1,1,1,1,100,0,0,100,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
46,1277,781,2802,608,32,158,9007,2026,316,462,62,1405,592,375,281,6,484,1.44,786,19,95,1,81,16.4,83.6,55,1,1,1,1,30.4,5,482,94.2,1.64E+03,92,7,40,0,67,278,22,276,64,9,54,1,41,1,1,1,6,1,56,3,0,11,1,27,1,2,2,0,2,4,3,1,76,0,5,3,6,0,2,0,1,0,3,4,3,0,2,0,64,2,0,0,0,0,0,1,0,0,2,1,0,3,0,3,0,1,4,0,16,0,0,1,0,0,2,2,0,0,2,0,1,2,1,0,0,2,0,no
45,1476,941,2916,566,28,79,11066,2010,256,491,59,1686,443,425,281,4,336,1.76,836,16,77,1,48,17,83,22,1,1,1,1,33,5,431,97.6,3.37E+03,28,17,21,0,44,134,24,146,27,3,24,1,18,1,1,1,2,0,21,1,1,30,1,0,0,17,0,0,5,1,1,5,7,0,0,0,1,0,1,1,0,0,1,1,1,9,0,23,11,1,7,120,7,7,0,0,2,13,1,1,0,1,0,1,0,1,0,1,0,2,1,1,0,0,1,0,0,2,0,1,0,0,1,0,0,1,0,no
42,766,519,1473,486,37,77,6920,1156,276,250,34,1426,275,227,172,4,242,1.64,176,11,31,1,22,18.2,81.8,47,1,1,1,1,33.1,5,23,95,4.65E+03,41,1,25,0,4,255,11,243,80,5,51,1,48,1,1,1,3,1,47,3,0,2,1,41,2,1,1,0,3,2,1,0,13,0,2,0,0,0,2,1,2,1,4,1,1,8,6,19,2,3,0,30,11,14,0,2,2,6,0,0,2,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,yes
68,1229,881,2586,813,30,243,10803,2377,472,452,78,1593,410,423,296,4,313,1.46,416,16,89,1,26,17.7,82.3,40,1,1,1,1,29.3,5,49,92.2,3.00E+03,81,10,32,0,78,162,23,156,50,4,29,1,18,1,1,1,3,1,13,3,0,7,1,43,1,3,2,0,1,3,2,1,35,0,0,1,1,0,0,1,1,1,1,0,1,19,0,59,44,0,12,112,22,22,0,0,1,34,0,1,2,0,5,2,0,1,0,4,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,yes
