1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
1,1,1,1,1,1,1,21,1,23,1,1,1,1,33,4164,317,111,103,16,179,918,14,498,342,26,1,5,8,739,137,184,171,1102,338,16,86,8,12,29.5,82,12,38,0,2,14,4,6,4,12,5,5,8,0,1,25,36,3,1,0,104,20,0,3.14E+03,191,2,10,0,18.6,81.4,0,4,0,46,1.51,93.1,0,0,0,2,1,3,17,0,0,1,1,0,0,1,2,2,0,1,0,0,1,0,16,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,yes
0,0,0,0,0,0,-1,0,1,0,1,1,1,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,1,0,1,1,1,1,28,10821,829,261,269,30,439,2121,37,1480,874,73,0,5,27,1943,435,525,463,2949,658,45,55,18,42,30.4,134,64,0,0,0,0,0,15,0,65,0,0,0,0,0,71,66,0,0,0,325,179,0,2.49E+03,406,9,14,0,15.8,84.2,0,7,0,53,1.56,95.7,2,0,0,4,9,2,3,2,5,3,0,4,3,0,2,1,0,5,0,1,9,0,91,1,23,2,2,1,1,1,1,0,0,0,1,0,0,1,1,1,0,5,1,0,no
0,0,1,1,1,1,0,0,1,0,1,1,1,1,27,5464,499,35,30,3,203,970,0,875,345,5,1,1,8,1529,133,321,296,1759,163,0,37,14,17,31.3,125,0,0,0,0,0,0,5,0,0,0,0,0,0,0,49,62,0,0,0,298,71,0,1.14E+03,352,0,24,0,15.3,84.7,0,5,0,34,1.69,93.4,1,0,0,0,0,2,40,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0,14,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,no
1,1,1,1,1,1,1,25,1,30,1,1,1,1,28,9011,558,228,230,16,288,1473,19,950,547,62,1,5,10,1134,234,321,302,1782,168,47,20,12,15,33.1,144,63,0,0,0,0,0,8,0,57,0,0,0,0,0,55,42,0,0,0,200,45,0,6.52E+03,228,5,43,0,15.9,84.1,0,5,0,53,1.52,93.6,1,0,0,3,0,2,10,2,2,3,1,1,3,0,0,0,3,1,0,0,3,0,2,1,7,4,2,2,0,1,1,1,0,1,0,0,2,2,0,1,0,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,1,1,1,1,0,0,1,0,1,1,1,1,28,8045,591,136,150,18,221,1307,11,833,499,40,1,5,13,1165,262,264,228,1725,328,26,45,13,30,28.7,90,23,0,0,0,0,0,3,0,44,0,0,0,0,0,38,18,0,0,0,190,81,0,6.68E+03,253,2,34,0,17.3,82.7,0,7,0,51,1.54,95.9,2,0,0,2,1,3,3,2,1,0,2,0,1,0,3,3,0,2,0,2,5,0,10,1,12,0,1,1,1,0,1,1,1,1,3,0,0,3,0,1,0,1,0,1,no
1,1,1,1,1,1,1,70,1,6,1,1,1,1,29,9045,768,255,275,23,259,1760,35,1100,662,77,1,5,20,5606,318,336,292,2331,342,65,51,17,33,27.9,86,69,160,12,16,98,48,6,196,54,16,14,8,0,4,60,35,12,4,0,156,127,0,3.17E+03,215,2,50,1,16.8,83.2,0,5,2,52,1.95,96.6,0,0,0,3,2,4,31,0,5,3,2,4,5,0,0,4,1,3,0,1,9,3,67,1,6,3,0,1,3,6,1,3,2,0,1,2,0,1,1,1,2,0,0,1,yes
0,0,1,1,1,1,0,0,1,0,1,1,1,1,30,5498,508,157,147,19,290,1269,14,809,512,32,1,5,12,1017,185,262,235,1532,227,17,28,9,26,30.1,23,27,36,0,2,29,10,6,142,40,20,15,2,0,2,37,11,2,0,0,178,27,0,859,208,3,16,0,18.7,81.3,0,4,0,34,1.43,98.6,0,0,0,2,0,1,9,5,5,1,1,2,3,0,0,0,1,1,0,0,1,0,2,0,2,2,0,0,2,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,no
1,1,1,1,1,1,1,14,1,4,1,1,1,1,28,5339,516,114,116,17,237,1109,22,785,428,37,1,5,13,1041,147,252,231,1484,197,24,27,7,20,32,49,14,6,5,7,24,10,5,12,11,4,4,1,0,0,43,14,3,0,0,198,33,0,1.56E+03,233,1,28,0,20.3,79.7,0,4,0,45,1.44,97.3,0,0,0,0,0,0,4,1,2,2,2,1,0,0,2,0,0,0,0,0,1,0,1,0,8,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,yes
